transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,revenue,year,month,quarter
103,909,Jacqueline Frye,105,45000.0,Tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,Ja***@gmail.com,******2895,successful,87750.0,2025,9,3
104,788,William Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,Wi***@gmail.com,******5393,successful,85000.0,2025,6,2
105,713,Jason Griffin,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,Ja***@gmail.com,******8007,successful,47500.0,2026,2,1
106,54,Jessica Hernandez,105,45000.0,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,Je***@outlook.com,******1854,successful,85500.0,2026,2,1
107,89,Joseph Davis,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,Jo***@yahoo.com,******8548,successful,208000.0,2025,3,1
108,724,Kimberly Winters,103,1300.0,Shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,Ki***@gmail.com,******1493,successful,3380.0,2025,6,2
109,128,Ethan Porter,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,Et***@yahoo.com,******4264,successful,19200.0,2026,2,1
110,264,Kelli Johnson,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,Ke***@gmail.com,******6731,successful,80000.0,2025,8,3
111,637,Kevin King,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,Ke***@yahoo.com,******5430,successful,360000.0,2026,2,1
112,381,Melissa Garza,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,Me***@gmail.com,******4306,successful,59500.0,2025,9,3
113,286,Carmen Sanders,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,Ca***@gmail.com,******0019,successful,36000.0,2026,1,1
114,484,Eric Cabrera,101,250000.0,Laptop,Electronics,online,Bangalore,2025-04-07,3,NetBanking,0.25,Er***@gmail.com,******8733,successful,562500.0,2025,4,2
115,270,Katherine Shaw,107,50000.0,Dining Table,Furniture,online,Chennai,2025-12-16,1,Card,0.1,Ka***@yahoo.com,******7908,successful,45000.0,2025,12,4
116,756,Juan Mata,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-22,4,NetBanking,0.2,Ju***@yahoo.com,******4818,successful,4160.0,2025,11,4
117,937,Nicole Woods,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-28,4,NetBanking,0.35,Ni***@yahoo.com,******9075,successful,130000.0,2025,7,3
118,206,Kevin Cox,105,45000.0,Tv,Electronics,online,Chennai,2025-04-18,1,UPI,0.4,Ke***@outlook.com,******5408,successful,27000.0,2025,4,2
119,822,Christine Rivera,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-02-24,2,NetBanking,0.25,Ch***@yahoo.com,******6621,successful,375000.0,2026,2,1
120,618,Alan Torres,110,45000.0,Microwave,Home Appliances,offline,Chennai,2025-09-23,5,Card,0.25,Al***@yahoo.com,******3305,successful,168750.0,2025,9,3
121,175,Shelby Casey,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2025-05-30,1,Card,0.25,Sh***@gmail.com,******1133,successful,48750.0,2025,5,2
122,549,Jacob Hopkins,102,70000.0,Phone,Electronics,online,Bangalore,2025-05-17,4,Cash,0.15,Ja***@gmail.com,******6590,successful,238000.0,2025,5,2
123,387,Kenneth Rocha,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-06-30,5,UPI,0.3,Ke***@outlook.com,******3283,successful,157500.0,2025,6,2
124,592,Timothy Medina,104,8000.0,Shoes,Clothing,offline,Delhi,2026-03-04,3,Card,0.35,Ti***@gmail.com,******8501,successful,15600.0,2026,3,1
125,580,Meredith Walker,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-10-13,2,Card,0.25,Me***@yahoo.com,******7146,successful,75000.0,2025,10,4
126,17,Duane Hall,101,250000.0,Laptop,Electronics,online,Bangalore,2026-02-25,1,Card,0.15,Du***@outlook.com,******1149,successful,212500.0,2026,2,1
126,17,Duane Hall,101,250000.0,Laptop,Electronics,online,Bangalore,2026-02-25,1,Card,0.15,Du***@outlook.com,******1149,failed,212500.0,2026,2,1
127,115,Linda Graham,101,250000.0,Laptop,Electronics,online,Chennai,2026-03-24,1,UPI,0.4,Li***@gmail.com,******1568,successful,150000.0,2026,3,1
127,115,Linda Graham,101,250000.0,Laptop,Electronics,online,Chennai,2026-03-24,1,UPI,0.4,Li***@gmail.com,******1568,failed,150000.0,2026,3,1
128,710,April Moore,101,250000.0,Laptop,Electronics,offline,Mumbai,2025-07-22,3,Cash,0.3,Ap***@gmail.com,******1176,successful,525000.0,2025,7,3
129,150,Donald Bradley,104,8000.0,Shoes,Clothing,offline,Mumbai,2026-01-17,5,Cash,0.4,Do***@gmail.com,******9420,successful,24000.0,2026,1,1
130,149,Ashley Mejia,103,1300.0,Shirt,Clothing,online,Chennai,2025-11-23,1,Card,0.15,As***@outlook.com,******6443,successful,1105.0,2025,11,4
130,149,Ashley Mejia,103,1300.0,Shirt,Clothing,online,Chennai,2025-11-23,1,Card,0.15,As***@outlook.com,******6443,failed,1105.0,2025,11,4
131,274,Joseph Parker,107,50000.0,Dining Table,Furniture,online,Bangalore,2026-01-06,1,UPI,0.15,Jo***@gmail.com,******9206,successful,42500.0,2026,1,1
132,173,Joshua Smith,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-06-07,2,UPI,0.4,Jo***@outlook.com,******7378,successful,78000.0,2025,6,2
133,633,Julie Jackson,103,1300.0,Shirt,Clothing,offline,Delhi,2025-07-13,-1,UPI,0.2,Ju***@gmail.com,******3701,successful,-1040.0,2025,7,3
134,702,Robert Jackson,108,15000.0,Mixer Grinder,Home Appliances,online,Delhi,2025-09-30,1,UPI,0.05,Ro***@gmail.com,******6138,successful,14250.0,2025,9,3
135,362,David Wells,101,250000.0,Laptop,Electronics,offline,Bangalore,2025-11-25,5,Cash,0.2,Da***@yahoo.com,******9722,successful,1000000.0,2025,11,4
136,863,Travis Morgan,101,250000.0,Laptop,Electronics,online,Bangalore,2025-05-24,1,Card,0.15,Tr***@gmail.com,******4457,successful,212500.0,2025,5,2
137,38,Laura Shelton,103,1300.0,Shirt,Clothing,online,Bangalore,2026-02-08,4,Card,0.05,La***@gmail.com,******7405,successful,4940.0,2026,2,1
138,432,Charles Nelson,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-02-22,4,NetBanking,0.4,Ch***@yahoo.com,******1774,successful,3120.0,2026,2,1
139,907,Jeffrey Mccall,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-02-17,4,NetBanking,0.05,Je***@gmail.com,******4650,successful,247000.0,2026,2,1
140,400,Brenda Johnson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-09,4,NetBanking,0.1,Br***@yahoo.com,******8393,successful,900000.0,2025,6,2
141,180,Chelsea Meyer,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-07,4,Card,0.1,Ch***@yahoo.com,******6560,successful,4680.0,2025,11,4
142,137,Kathleen Douglas,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-09-26,1,Cash,0.15,Ka***@yahoo.com,******6544,successful,42500.0,2025,9,3
143,313,Mary Lowe,107,50000.0,Dining Table,Furniture,offline,Delhi,2026-12-04,3,UPI,0.35,Ma***@outlook.com,******2640,successful,97500.0,2026,12,4
144,718,Rebecca Mills,103,1300.0,Shirt,Clothing,online,Delhi,2026-03-21,2,Card,0.1,Re***@outlook.com,******1168,successful,2340.0,2026,3,1
145,975,Jacqueline Doyle,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2026-01-12,3,Card,0.1,Ja***@outlook.com,******0490,successful,175500.0,2026,1,1
146,311,Juan Murphy,103,1300.0,Shirt,Clothing,offline,Bangalore,2025-10-29,2,NetBanking,0.1,Ju***@yahoo.com,******7160,successful,2340.0,2025,10,4
147,111,Alyssa Mitchell,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-09-08,4,Card,0.35,Al***@gmail.com,******2386,successful,130000.0,2025,9,3
148,139,Melissa Peterson,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-07-09,3,NetBanking,0.25,Me***@outlook.com,******2133,successful,18000.0,2025,7,3
149,644,John Parrish,102,70000.0,Phone,Electronics,offline,Delhi,2026-04-04,4,Card,0.2,Jo***@gmail.com,******7481,successful,224000.0,2026,4,2
150,917,Alexandria Marks,105,45000.0,Tv,Electronics,online,Hyderabad,2025-04-11,2,Cash,0.4,Al***@gmail.com,******3519,successful,54000.0,2025,4,2
151,294,Jared Moreno,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-04-01,1,NetBanking,0.4,Ja***@gmail.com,******7809,successful,150000.0,2026,4,2
152,171,Michael Church,105,45000.0,Tv,Electronics,online,Hyderabad,2025-06-26,1,NetBanking,0.3,Mi***@gmail.com,******4681,successful,31500.0,2025,6,2
153,1,Karen Pollard,108,15000.0,Mixer Grinder,Home Appliances,offline,Hyderabad,2026-04-10,3,NetBanking,0.15,Ka***@yahoo.com,******6363,successful,38250.0,2026,4,2
154,835,Juan Watkins,102,70000.0,Phone,Electronics,online,Delhi,2026-01-31,4,UPI,0.3,Ju***@outlook.com,******2580,successful,196000.0,2026,1,1
155,363,Leonard Travis,105,45000.0,Tv,Electronics,online,Delhi,2025-06-07,3,Card,0.1,Le***@gmail.com,******0472,successful,121500.0,2025,6,2
